delta,timestamp
22,2022-02-07 22:49:17.369404
41,2022-02-07 22:49:17.410421
37,2022-02-07 22:49:17.448401
39,2022-02-07 22:49:17.487403
31,2022-02-07 22:49:17.519402
36,2022-02-07 22:49:17.555405
33,2022-02-07 22:49:17.589403
37,2022-02-07 22:49:17.627402
33,2022-02-07 22:49:17.661401
38,2022-02-07 22:49:17.699579
33,2022-02-07 22:49:17.733038
34,2022-02-07 22:49:17.767404
33,2022-02-07 22:49:17.800525
34,2022-02-07 22:49:17.836272
34,2022-02-07 22:49:17.870270
36,2022-02-07 22:49:17.907269
34,2022-02-07 22:49:17.943268
31,2022-02-07 22:49:17.974268
34,2022-02-07 22:49:18.008278
36,2022-02-07 22:49:18.045276
31,2022-02-07 22:49:18.077268
36,2022-02-07 22:49:18.114267
33,2022-02-07 22:49:18.147278
34,2022-02-07 22:49:18.182271
39,2022-02-07 22:49:18.222270
36,2022-02-07 22:49:18.258328
36,2022-02-07 22:49:18.295271
33,2022-02-07 22:49:18.328451
33,2022-02-07 22:49:18.361455
35,2022-02-07 22:49:18.397455
34,2022-02-07 22:49:18.432454
35,2022-02-07 22:49:18.467454
33,2022-02-07 22:49:18.501452
26,2022-02-07 22:49:18.527453
15,2022-02-07 22:49:18.542459
27,2022-02-07 22:49:18.570455
17,2022-02-07 22:49:18.587470
25,2022-02-07 22:49:18.613454
23,2022-02-07 22:49:18.637452
31,2022-02-07 22:49:18.668453
32,2022-02-07 22:49:18.701452
39,2022-02-07 22:49:18.740452
34,2022-02-07 22:49:18.774455
34,2022-02-07 22:49:18.809453
34,2022-02-07 22:49:18.843454
33,2022-02-07 22:49:18.876506
35,2022-02-07 22:49:18.911506
36,2022-02-07 22:49:18.948454
33,2022-02-07 22:49:18.981677
33,2022-02-07 22:49:19.015508
34,2022-02-07 22:49:19.050357
35,2022-02-07 22:49:19.086099
43,2022-02-07 22:49:19.129100
29,2022-02-07 22:49:19.159099
37,2022-02-07 22:49:19.196100
36,2022-02-07 22:49:19.232538
32,2022-02-07 22:49:19.265507
34,2022-02-07 22:49:19.299820
33,2022-02-07 22:49:19.333820
35,2022-02-07 22:49:19.368821
32,2022-02-07 22:49:19.400823
33,2022-02-07 22:49:19.434822
32,2022-02-07 22:49:19.467821
34,2022-02-07 22:49:19.501823
31,2022-02-07 22:49:19.534823
35,2022-02-07 22:49:19.569819
33,2022-02-07 22:49:19.602820
32,2022-02-07 22:49:19.635820
34,2022-02-07 22:49:19.670822
39,2022-02-07 22:49:19.708841
32,2022-02-07 22:49:19.741822
51,2022-02-07 22:49:19.792823
22,2022-02-07 22:49:19.815820
25,2022-02-07 22:49:19.840838
32,2022-02-07 22:49:19.873819
38,2022-02-07 22:49:19.911825
26,2022-02-07 22:49:19.938820
35,2022-02-07 22:49:19.974819
36,2022-02-07 22:49:20.010823
32,2022-02-07 22:49:20.043822
37,2022-02-07 22:49:20.080822
32,2022-02-07 22:49:20.113819
34,2022-02-07 22:49:20.147822
36,2022-02-07 22:49:20.183822
34,2022-02-07 22:49:20.218820
34,2022-02-07 22:49:20.253820
34,2022-02-07 22:49:20.287820
33,2022-02-07 22:49:20.321820
38,2022-02-07 22:49:20.359823
31,2022-02-07 22:49:20.391822
32,2022-02-07 22:49:20.424821
32,2022-02-07 22:49:20.458819
33,2022-02-07 22:49:20.490829
33,2022-02-07 22:49:20.524821
36,2022-02-07 22:49:20.560841
31,2022-02-07 22:49:20.592820
32,2022-02-07 22:49:20.625820
33,2022-02-07 22:49:20.659824
35,2022-02-07 22:49:20.693823
32,2022-02-07 22:49:20.726815
22,2022-02-07 22:49:20.748817
17,2022-02-07 22:49:20.767821
22,2022-02-07 22:49:20.788823
13,2022-02-07 22:49:20.802817
26,2022-02-07 22:49:20.829813
14,2022-02-07 22:49:20.843817
54,2022-02-07 22:49:20.897819
25,2022-02-07 22:49:20.923816
13,2022-02-07 22:49:20.936879
21,2022-02-07 22:49:20.958815
35,2022-02-07 22:49:20.993817
41,2022-02-07 22:49:21.036817
35,2022-02-07 22:49:21.070819
24,2022-02-07 22:49:21.094878
17,2022-02-07 22:49:21.112815
43,2022-02-07 22:49:21.155816
40,2022-02-07 22:49:21.196818
37,2022-02-07 22:49:21.233846
32,2022-02-07 22:49:21.266822
32,2022-02-07 22:49:21.299820
33,2022-02-07 22:49:21.333816
35,2022-02-07 22:49:21.368816
33,2022-02-07 22:49:21.402455
35,2022-02-07 22:49:21.437459
32,2022-02-07 22:49:21.470146
35,2022-02-07 22:49:21.506146
35,2022-02-07 22:49:21.541145
32,2022-02-07 22:49:21.574145
33,2022-02-07 22:49:21.607145
33,2022-02-07 22:49:21.641145
38,2022-02-07 22:49:21.679147
28,2022-02-07 22:49:21.708146
33,2022-02-07 22:49:21.742145
33,2022-02-07 22:49:21.776145
38,2022-02-07 22:49:21.814146
27,2022-02-07 22:49:21.841146
26,2022-02-07 22:49:21.867149
27,2022-02-07 22:49:21.894150
16,2022-02-07 22:49:21.911145
30,2022-02-07 22:49:21.941149
37,2022-02-07 22:49:21.980146
30,2022-02-07 22:49:22.011146
46,2022-02-07 22:49:22.056145
32,2022-02-07 22:49:22.088146
35,2022-02-07 22:49:22.124148
41,2022-02-07 22:49:22.164148
64,2022-02-07 22:49:22.229148
16,2022-02-07 22:49:22.246146
28,2022-02-07 22:49:22.274148
35,2022-02-07 22:49:22.310146
30,2022-02-07 22:49:22.340147
26,2022-02-07 22:49:22.368152
33,2022-02-07 22:49:22.401169
35,2022-02-07 22:49:22.436145
37,2022-02-07 22:49:22.474145
33,2022-02-07 22:49:22.507145
39,2022-02-07 22:49:22.546146
29,2022-02-07 22:49:22.576145
37,2022-02-07 22:49:22.613146
42,2022-02-07 22:49:22.655147
27,2022-02-07 22:49:22.682148
29,2022-02-07 22:49:22.712145
33,2022-02-07 22:49:22.745147
32,2022-02-07 22:49:22.777148
34,2022-02-07 22:49:22.812146
34,2022-02-07 22:49:22.846148
35,2022-02-07 22:49:22.883147
32,2022-02-07 22:49:22.914146
32,2022-02-07 22:49:22.947145
33,2022-02-07 22:49:22.981144
33,2022-02-07 22:49:23.014145
35,2022-02-07 22:49:23.049146
32,2022-02-07 22:49:23.082145
35,2022-02-07 22:49:23.118145
35,2022-02-07 22:49:23.153148
34,2022-02-07 22:49:23.188145
34,2022-02-07 22:49:23.222147
35,2022-02-07 22:49:23.258146
30,2022-02-07 22:49:23.290145
36,2022-02-07 22:49:23.325161
34,2022-02-07 22:49:23.360144
35,2022-02-07 22:49:23.395145
33,2022-02-07 22:49:23.428147
34,2022-02-07 22:49:23.464146
35,2022-02-07 22:49:23.498148
33,2022-02-07 22:49:23.532146
35,2022-02-07 22:49:23.567147
33,2022-02-07 22:49:23.600163
31,2022-02-07 22:49:23.633146
33,2022-02-07 22:49:23.666144
34,2022-02-07 22:49:23.700146
36,2022-02-07 22:49:23.736146
37,2022-02-07 22:49:23.773158
30,2022-02-07 22:49:23.804145
33,2022-02-07 22:49:23.837147
34,2022-02-07 22:49:23.872145
34,2022-02-07 22:49:23.906147
35,2022-02-07 22:49:23.943145
31,2022-02-07 22:49:23.974144
34,2022-02-07 22:49:24.009147
33,2022-02-07 22:49:24.041145
38,2022-02-07 22:49:24.079204
31,2022-02-07 22:49:24.111148
33,2022-02-07 22:49:24.145147
30,2022-02-07 22:49:24.176145
30,2022-02-07 22:49:24.207148
33,2022-02-07 22:49:24.240146
30,2022-02-07 22:49:24.272145
29,2022-02-07 22:49:24.301145
31,2022-02-07 22:49:24.333149
35,2022-02-07 22:49:24.367150
30,2022-02-07 22:49:24.398146
36,2022-02-07 22:49:24.434148
34,2022-02-07 22:49:24.470151
35,2022-02-07 22:49:24.504147
32,2022-02-07 22:49:24.537145
34,2022-02-07 22:49:24.571147
31,2022-02-07 22:49:24.602148
31,2022-02-07 22:49:24.634146
30,2022-02-07 22:49:24.665154
31,2022-02-07 22:49:24.695147
