execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature
106,2023-05-24 11:04:31.223202,0,0,0
109,2023-05-24 11:04:31.374925,0,0,0
61,2023-05-24 11:04:31.495355,0,0,0
112,2023-05-24 11:04:31.696128,0,0,0
54,2023-05-24 11:04:31.812451,0,0,0
48,2023-05-24 11:04:31.923847,0,0,0
62,2023-05-24 11:04:32.085295,0,0,0
105,2023-05-24 11:04:32.265768,0,0,0
81,2023-05-24 11:04:32.388710,0,0,0
60,2023-05-24 11:04:32.508573,0,0,0
93,2023-05-24 11:04:32.661167,0,0,0
89,2023-05-24 11:04:32.798987,0,0,0
74,2023-05-24 11:04:32.915124,0,0,0
73,2023-05-24 11:04:33.046293,0,0,0
71,2023-05-24 11:04:33.163114,0,0,0
65,2023-05-24 11:04:33.278128,0,0,0
75,2023-05-24 11:04:33.411411,0,0,0
106,2023-05-24 11:04:33.585452,0,0,0
99,2023-05-24 11:04:33.741068,0,0,0
60,2023-05-24 11:04:33.843962,0,0,0
103,2023-05-24 11:04:34.000747,0,0,0
99,2023-05-24 11:04:34.147273,0,0,0
101,2023-05-24 11:04:34.306242,0,0,0
95,2023-05-24 11:04:34.452396,0,0,0
80,2023-05-24 11:04:34.605579,0,0,0
92,2023-05-24 11:04:34.748622,0,0,0
82,2023-05-24 11:04:34.874778,0,0,0
71,2023-05-24 11:04:34.989721,0,0,0
0,2023-05-24 11:04:35.042323,0,0,0
100,2023-05-24 11:04:35.206697,0,0,0
0,2023-05-24 11:04:35.246180,0,0,0
94,2023-05-24 11:04:35.387271,0,0,0
0,2023-05-24 11:04:35.453200,0,0,0
0,2023-05-24 11:04:35.504681,0,0,0
0,2023-05-24 11:04:35.551783,0,0,0
35,2023-05-24 11:04:35.616836,0,0,0
57,2023-05-24 11:04:35.716536,0,0,0
71,2023-05-24 11:04:35.822452,0,0,0
79,2023-05-24 11:04:35.950030,0,0,0
66,2023-05-24 11:04:36.064498,0,0,0
88,2023-05-24 11:04:36.221127,0,0,0
98,2023-05-24 11:04:36.358022,0,0,0
91,2023-05-24 11:04:36.490859,0,0,0
67,2023-05-24 11:04:36.604011,0,0,0
67,2023-05-24 11:04:36.712531,0,0,0
83,2023-05-24 11:04:36.835896,0,0,0
77,2023-05-24 11:04:36.955678,0,0,0
109,2023-05-24 11:04:37.114809,0,0,0
85,2023-05-24 11:04:37.254905,0,0,0
96,2023-05-24 11:04:37.404267,0,0,0
67,2023-05-24 11:04:37.511641,0,0,0
82,2023-05-24 11:04:37.631105,0,0,0
120,2023-05-24 11:04:37.796095,0,0,0
79,2023-05-24 11:04:37.913955,0,0,0
71,2023-05-24 11:04:38.030868,0,0,0
101,2023-05-24 11:04:38.171423,0,0,0
120,2023-05-24 11:04:38.343208,0,0,0
70,2023-05-24 11:04:38.471893,0,0,0
91,2023-05-24 11:04:38.621662,0,0,0
91,2023-05-24 11:04:38.754278,0,0,0
100,2023-05-24 11:04:38.900058,0,0,0
83,2023-05-24 11:04:39.026222,0,0,0
90,2023-05-24 11:04:39.178017,0,0,0
100,2023-05-24 11:04:39.330542,0,0,0
66,2023-05-24 11:04:39.450921,0,0,0
73,2023-05-24 11:04:39.571398,0,0,0
44,2023-05-24 11:04:39.703909,0,0,0
56,2023-05-24 11:04:39.801963,0,0,0
103,2023-05-24 11:04:39.946863,0,0,0
84,2023-05-24 11:04:40.088248,0,0,0
72,2023-05-24 11:04:40.218632,0,0,0
68,2023-05-24 11:04:40.336172,0,0,0
105,2023-05-24 11:04:40.483015,0,0,0
119,2023-05-24 11:04:40.664355,0,0,0
99,2023-05-24 11:04:40.823391,0,0,0
138,2023-05-24 11:04:41.020695,0,0,0
56,2023-05-24 11:04:41.123616,0,0,0
58,2023-05-24 11:04:41.227306,0,0,0
106,2023-05-24 11:04:41.389020,0,0,0
62,2023-05-24 11:04:41.515142,0,0,0
55,2023-05-24 11:04:41.617498,0,0,0
61,2023-05-24 11:04:41.719808,0,0,0
72,2023-05-24 11:04:41.838826,0,0,0
92,2023-05-24 11:04:41.979285,0,0,0
82,2023-05-24 11:04:42.119977,0,0,0
58,2023-05-24 11:04:42.214666,0,0,0
93,2023-05-24 11:04:42.351161,0,0,0
65,2023-05-24 11:04:42.454719,0,0,0
103,2023-05-24 11:04:42.600615,0,0,0
55,2023-05-24 11:04:42.710752,0,0,0
84,2023-05-24 11:04:42.846886,0,0,0
59,2023-05-24 11:04:42.949516,0,0,0
88,2023-05-24 11:04:43.083193,0,0,0
38,2023-05-24 11:04:43.192713,0,0,0
42,2023-05-24 11:04:43.296312,0,0,0
70,2023-05-24 11:04:43.443171,0,0,0
103,2023-05-24 11:04:43.606912,0,0,0
75,2023-05-24 11:04:43.730461,0,0,0
93,2023-05-24 11:04:43.886561,0,0,0
62,2023-05-24 11:04:44.004905,0,0,0
56,2023-05-24 11:04:44.120134,0,0,0
53,2023-05-24 11:04:44.231754,0,0,0
