timestamp,pixel,fps,pv,ra,stream,device,GPU
2023-10-11 09:33:51.220494,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:33:55.502215,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:00.515477,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:05.006150,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:09.661133,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:14.308322,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:18.948966,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:23.889268,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:28.045366,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:33.205739,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:37.686242,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:42.238957,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:46.453365,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:50.984112,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:34:55.884164,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:35:00.396299,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:35:05.450823,420,30,1.0,0.0,4,Nano,0
2023-10-11 09:35:09.591837,420,30,1.0,0.0,5,Nano,0
2023-10-11 09:35:14.751075,420,30,1.0,0.0,5,Nano,0
2023-10-11 09:35:18.560658,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:22.601600,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:26.326667,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:30.182817,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:34.013332,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:37.854094,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:41.814687,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:45.647685,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:50.010481,360,22,0.95,0.0,5,Nano,0
2023-10-11 09:35:54.013110,360,22,1.0,0.0,5,Nano,0
2023-10-11 09:35:57.870152,300,22,0.95,0.0,5,Nano,0
2023-10-11 09:36:01.522424,300,22,1.0,0.0,5,Nano,0
2023-10-11 09:36:06.360176,360,18,1.0,0.0,5,Nano,0
2023-10-11 09:36:08.359803,360,18,1.0,0.0,5,Nano,0
2023-10-11 09:36:12.680500,420,22,1.0,0.0,5,Nano,0
2023-10-11 09:36:16.892491,420,22,1.0,0.0,5,Nano,0
2023-10-11 09:36:20.360254,120,14,0.07,0.21,5,Nano,0
2023-10-11 09:36:21.587829,120,14,0.05,0.07,5,Nano,0
2023-10-11 09:36:24.975675,300,18,1.0,0.0,5,Nano,0
2023-10-11 09:36:28.360195,300,18,1.0,0.0,5,Nano,0
2023-10-11 09:36:31.560597,300,18,1.0,0.0,5,Nano,0
2023-10-11 09:36:34.875810,300,18,0.94,0.0,5,Nano,0
2023-10-11 09:36:37.983624,300,18,1.0,0.0,5,Nano,0
2023-10-11 09:36:41.892163,300,18,0.94,0.0,5,Nano,0
2023-10-11 09:36:44.704047,300,18,1.0,0.0,5,Nano,0
2023-10-11 09:36:50.480056,420,26,1.0,0.0,5,Nano,0
2023-10-11 09:36:54.436001,420,26,1.0,0.0,5,Nano,0
2023-10-11 09:36:57.404742,420,14,1.0,0.14,5,Nano,0
2023-10-11 09:37:00.641557,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:03.562634,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:06.584124,420,14,0.73,0.0,5,Nano,0
2023-10-11 09:37:09.115906,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:12.558338,420,14,1.0,0.07,5,Nano,0
2023-10-11 09:37:15.369568,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:18.401363,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:21.752108,420,14,0.93,0.0,5,Nano,0
2023-10-11 09:37:24.191033,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:27.562905,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:29.984539,420,14,1.0,0.0,5,Nano,0
2023-10-11 09:37:33.000347,420,14,1.0,0.21,5,Nano,0
2023-10-11 09:37:35.951181,420,14,1.0,0.07,5,Nano,0
2023-10-11 09:37:38.842610,420,14,1.0,0.07,5,Nano,0
2023-10-11 09:37:41.960487,420,14,1.0,0.07,5,Nano,0
2023-10-11 09:37:44.949321,420,14,1.0,0.07,5,Nano,0
2023-10-11 09:37:47.783114,420,14,0.93,0.07,5,Nano,0
2023-10-11 09:37:50.873397,420,14,1.0,0.07,5,Nano,0
2023-10-11 09:37:53.711879,420,14,1.0,0.07,5,Nano,0
2023-10-11 09:37:56.650858,420,14,0.93,0.0,5,Nano,0
2023-10-11 09:37:59.132151,420,14,1.0,0.0,6,Nano,0
2023-10-11 09:38:02.181920,420,14,1.0,0.0,6,Nano,0
2023-10-11 09:38:06.542488,420,18,1.0,0.0,6,Nano,0
2023-10-11 09:38:10.466742,420,18,1.0,0.0,6,Nano,0
2023-10-11 09:38:16.881808,360,26,1.0,0.0,6,Nano,0
2023-10-11 09:38:21.329186,360,26,1.0,0.0,6,Nano,0
2023-10-11 09:38:23.752327,240,14,1.0,0.0,6,Nano,0
2023-10-11 09:38:26.578749,240,14,1.0,0.0,6,Nano,0
2023-10-11 09:38:30.709523,240,18,1.0,0.0,6,Nano,0
2023-10-11 09:38:34.819507,240,18,1.0,0.0,6,Nano,0
2023-10-11 09:38:37.351975,240,14,0.93,0.0,6,Nano,0
2023-10-11 09:38:40.055871,240,14,1.0,0.07,6,Nano,0
2023-10-11 09:38:43.151841,240,14,1.0,0.0,6,Nano,0
2023-10-11 09:38:46.042870,240,14,1.0,0.0,6,Nano,0
2023-10-11 09:38:50.249122,360,18,1.0,0.0,6,Nano,0
2023-10-11 09:38:54.533699,360,18,1.0,0.0,6,Nano,0
2023-10-11 09:38:57.807089,240,14,0.93,0.14,6,Nano,0
2023-10-11 09:39:00.211449,240,14,1.0,0.0,6,Nano,0
2023-10-11 09:39:05.906493,420,26,1.0,0.0,6,Nano,0
2023-10-11 09:39:11.537050,420,26,0.92,0.0,6,Nano,0
2023-10-11 09:39:16.816770,360,26,1.0,0.0,6,Nano,0
2023-10-11 09:39:22.107144,360,26,1.0,0.0,6,Nano,0
2023-10-11 09:39:27.549812,360,26,1.0,0.0,6,Nano,0
2023-10-11 09:39:32.297576,360,26,1.0,0.0,6,Nano,0
2023-10-11 09:39:37.603827,360,26,1.0,0.0,6,Nano,0
2023-10-11 09:39:42.285770,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:39:47.010814,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:39:51.269222,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:39:55.853410,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:40:00.755536,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:40:05.153987,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:40:09.346071,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:40:14.175334,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:40:18.604127,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:40:23.185448,420,22,1.0,0.0,6,Nano,0
2023-10-11 09:40:27.548692,420,22,1.0,0.0,6,Nano,0
