execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,success,distance
62,2023-09-07 16:04:36.174795,40.3,73.7,409920,12,True,19.0
55,2023-09-07 16:04:36.258290,37.5,73.7,409920,12,True,32.0
68,2023-09-07 16:04:36.342630,42.7,73.7,409920,12,True,22.0
68,2023-09-07 16:04:36.426915,42.6,73.7,409920,12,True,29.0
66,2023-09-07 16:04:36.512114,39.3,73.7,409920,12,True,20.0
62,2023-09-07 16:04:36.595801,40.6,73.7,409920,12,True,28.0
62,2023-09-07 16:04:36.679681,40.3,73.7,409920,12,True,17.0
63,2023-09-07 16:04:36.763526,40.7,73.7,409920,12,True,28.0
68,2023-09-07 16:04:36.847291,42.8,73.7,409920,12,True,20.0
70,2023-09-07 16:04:36.931019,43.3,73.7,409920,12,True,27.0
59,2023-09-07 16:04:37.014746,39.4,73.7,409920,12,True,16.0
59,2023-09-07 16:04:37.098593,39.4,73.7,409920,12,True,22.0
62,2023-09-07 16:04:37.182015,40.6,73.7,409920,12,True,13.0
56,2023-09-07 16:04:37.266304,38.3,73.7,409920,12,True,28.0
68,2023-09-07 16:04:37.350587,42.6,73.7,409920,12,True,19.0
65,2023-09-07 16:04:37.435028,41.7,73.7,409920,12,True,27.0
63,2023-09-07 16:04:37.519552,40.7,73.7,409920,12,True,18.0
65,2023-09-07 16:04:37.603501,41.6,73.7,409920,12,True,21.0
66,2023-09-07 16:04:37.687196,41.9,73.7,409920,12,True,10.0
75,2023-09-07 16:04:37.771378,42.1,73.7,409920,12,True,18.0
70,2023-09-07 16:04:37.855198,43.3,73.7,409920,12,True,15.0
71,2023-09-07 16:04:37.938892,43.6,73.7,409920,12,True,37.0
68,2023-09-07 16:04:38.023184,40.0,73.7,409920,12,True,33.0
63,2023-09-07 16:04:38.107004,40.7,73.7,409920,12,True,32.0
58,2023-09-07 16:04:38.190815,38.8,73.7,409920,12,True,30.0
58,2023-09-07 16:04:38.274249,38.8,73.7,409920,12,True,47.0
70,2023-09-07 16:04:38.358808,40.7,73.7,409920,12,True,27.0
56,2023-09-07 16:04:38.442651,38.0,73.7,409920,12,True,52.0
74,2023-09-07 16:04:38.526928,42.0,73.7,409920,12,True,33.0
63,2023-09-07 16:04:38.610857,40.7,73.7,409920,12,True,35.0
59,2023-09-07 16:04:38.694437,39.2,73.7,409920,12,True,24.0
62,2023-09-07 16:04:38.777979,40.3,73.7,409920,12,True,46.0
58,2023-09-07 16:04:38.862447,39.1,73.7,409920,12,True,24.0
71,2023-09-07 16:04:38.947323,43.8,73.7,409920,12,True,35.0
70,2023-09-07 16:04:39.031080,43.3,73.7,409920,12,True,20.0
64,2023-09-07 16:04:39.115131,41.2,73.7,409920,12,True,29.0
69,2023-09-07 16:04:39.199131,42.9,73.7,409920,12,True,14.0
64,2023-09-07 16:04:39.283160,41.2,73.7,409920,12,True,21.0
70,2023-09-07 16:04:39.367300,40.7,73.7,409920,12,True,4.0
67,2023-09-07 16:04:39.450754,42.4,73.7,409920,12,True,5.0
75,2023-09-07 16:04:39.535847,42.3,73.8,409920,12,True,3.0
71,2023-09-07 16:04:39.620186,41.0,73.8,409920,12,True,5.0
62,2023-09-07 16:04:39.704069,40.3,73.8,409920,12,True,2.0
60,2023-09-07 16:04:39.787711,39.8,73.8,409920,12,True,7.0
63,2023-09-07 16:04:39.871279,40.7,73.8,409920,12,True,11.0
69,2023-09-07 16:04:39.955063,42.9,73.8,409920,12,True,17.0
