execution_time,timestamp,cpu_utilization,memory_usage, cpu_temperature,pixel
23,2023-05-24 14:30:03.529843,0,0,0,0
22,2023-05-24 14:30:03.598479,0,0,0,0
24,2023-05-24 14:30:03.669595,0,0,0,0
21,2023-05-24 14:30:03.735976,0,0,0,0
21,2023-05-24 14:30:03.805047,0,0,0,0
22,2023-05-24 14:30:03.875534,0,0,0,0
21,2023-05-24 14:30:03.943211,0,0,0,0
20,2023-05-24 14:30:04.011480,0,0,0,0
21,2023-05-24 14:30:04.081014,0,0,0,0
20,2023-05-24 14:30:04.149029,0,0,0,0
21,2023-05-24 14:30:04.219080,0,0,0,0
19,2023-05-24 14:30:04.286033,0,0,0,0
18,2023-05-24 14:30:04.353894,0,0,0,0
19,2023-05-24 14:30:04.423887,0,0,0,0
24,2023-05-24 14:30:04.497317,0,0,0,0
33,2023-05-24 14:30:04.575065,0,0,0,0
19,2023-05-24 14:30:04.629943,0,0,0,0
17,2023-05-24 14:30:04.696993,0,0,0,0
17,2023-05-24 14:30:04.765921,0,0,0,0
16,2023-05-24 14:30:04.834350,0,0,0,0
16,2023-05-24 14:30:04.903129,0,0,0,0
17,2023-05-24 14:30:04.973429,0,0,0,0
19,2023-05-24 14:30:05.043984,0,0,0,0
19,2023-05-24 14:30:05.112734,0,0,0,0
17,2023-05-24 14:30:05.179951,0,0,0,0
18,2023-05-24 14:30:05.249856,0,0,0,0
17,2023-05-24 14:30:05.317922,0,0,0,0
20,2023-05-24 14:30:05.389458,0,0,0,0
19,2023-05-24 14:30:05.457893,0,0,0,0
19,2023-05-24 14:30:05.527010,0,0,0,0
19,2023-05-24 14:30:05.595376,0,0,0,0
18,2023-05-24 14:30:05.663738,0,0,0,0
18,2023-05-24 14:30:05.732130,0,0,0,0
18,2023-05-24 14:30:05.800628,0,0,0,0
23,2023-05-24 14:30:05.874569,0,0,0,0
18,2023-05-24 14:30:05.938360,0,0,0,0
55,2023-05-24 14:30:06.043179,0,0,0,0
46,2023-05-24 14:30:06.123647,0,0,0,0
25,2023-05-24 14:30:06.183801,0,0,0,0
18,2023-05-24 14:30:06.245326,0,0,0,0
18,2023-05-24 14:30:06.313689,0,0,0,0
22,2023-05-24 14:30:06.386102,0,0,0,0
18,2023-05-24 14:30:06.450893,0,0,0,0
19,2023-05-24 14:30:06.520407,0,0,0,0
57,2023-05-24 14:30:06.627171,0,0,0,0
33,2023-05-24 14:30:06.694724,0,0,0,0
16,2023-05-24 14:30:06.746704,0,0,0,0
18,2023-05-24 14:30:06.817256,0,0,0,0
18,2023-05-24 14:30:06.885839,0,0,0,0
18,2023-05-24 14:30:06.954743,0,0,0,0
18,2023-05-24 14:30:07.024260,0,0,0,0
57,2023-05-24 14:30:07.131881,0,0,0,0
39,2023-05-24 14:30:07.206172,0,0,0,0
20,2023-05-24 14:30:07.261410,0,0,0,0
18,2023-05-24 14:30:07.328608,0,0,0,0
19,2023-05-24 14:30:07.398116,0,0,0,0
18,2023-05-24 14:30:07.465914,0,0,0,0
16,2023-05-24 14:30:07.532625,0,0,0,0
17,2023-05-24 14:30:07.602391,0,0,0,0
49,2023-05-24 14:30:07.703776,0,0,0,0
17,2023-05-24 14:30:07.756462,0,0,0,0
17,2023-05-24 14:30:07.825361,0,0,0,0
24,2023-05-24 14:30:07.901396,0,0,0,0
19,2023-05-24 14:30:07.965160,0,0,0,0
44,2023-05-24 14:30:08.059742,0,0,0,0
15,2023-05-24 14:30:08.110486,0,0,0,0
28,2023-05-24 14:30:08.192605,0,0,0,0
16,2023-05-24 14:30:08.249499,0,0,0,0
25,2023-05-24 14:30:08.328201,0,0,0,0
43,2023-05-24 14:30:08.415888,0,0,0,0
19,2023-05-24 14:30:08.470278,0,0,0,0
17,2023-05-24 14:30:08.537291,0,0,0,0
18,2023-05-24 14:30:08.607038,0,0,0,0
18,2023-05-24 14:30:08.676536,0,0,0,0
44,2023-05-24 14:30:08.771290,0,0,0,0
19,2023-05-24 14:30:08.825066,0,0,0,0
26,2023-05-24 14:30:08.901630,0,0,0,0
22,2023-05-24 14:30:08.966718,0,0,0,0
20,2023-05-24 14:30:09.033002,0,0,0,0
23,2023-05-24 14:30:09.104054,0,0,0,0
20,2023-05-24 14:30:09.170696,0,0,0,0
18,2023-05-24 14:30:09.237355,0,0,0,0
20,2023-05-24 14:30:09.308835,0,0,0,0
17,2023-05-24 14:30:09.374415,0,0,0,0
21,2023-05-24 14:30:09.447221,0,0,0,0
20,2023-05-24 14:30:09.515758,0,0,0,0
19,2023-05-24 14:30:09.583595,0,0,0,0
17,2023-05-24 14:30:09.651066,0,0,0,0
19,2023-05-24 14:30:09.721874,0,0,0,0
19,2023-05-24 14:30:09.790817,0,0,0,0
17,2023-05-24 14:30:09.858241,0,0,0,0
19,2023-05-24 14:30:09.929636,0,0,0,0
20,2023-05-24 14:30:09.999540,0,0,0,0
20,2023-05-24 14:30:10.068973,0,0,0,0
21,2023-05-24 14:30:10.138685,0,0,0,0
21,2023-05-24 14:30:10.208423,0,0,0,0
20,2023-05-24 14:30:10.276135,0,0,0,0
