execution_time,timestamp,cpu_utilization,memory_usage,pixel,fps,bitrate,success,within_time,distance
7,2023-05-31 15:00:02.607787,84.6,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.615300,91.7,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.622836,84.6,46.9,102240,30,3067200,True,True,11
7,2023-05-31 15:00:02.630429,92.3,46.9,102240,30,3067200,True,True,10
7,2023-05-31 15:00:02.637977,84.6,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.645404,91.7,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.653072,84.6,46.9,102240,30,3067200,True,True,11
7,2023-05-31 15:00:02.660875,85.7,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.668335,84.6,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.675933,91.7,46.9,102240,30,3067200,True,True,7
7,2023-05-31 15:00:02.683666,92.3,46.9,102240,30,3067200,True,True,10
6,2023-05-31 15:00:02.691088,85.7,46.9,102240,30,3067200,True,True,10
7,2023-05-31 15:00:02.698891,92.3,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.706648,83.3,46.9,102240,30,3067200,True,True,12
7,2023-05-31 15:00:02.714061,92.3,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.721984,84.6,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.729824,91.7,46.9,102240,30,3067200,True,True,12
7,2023-05-31 15:00:02.737486,91.7,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.745352,85.7,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.753311,91.7,46.9,102240,30,3067200,True,True,7
7,2023-05-31 15:00:02.760884,81.8,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.768503,87.5,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.776317,92.3,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.783928,85.7,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.791500,92.3,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.799107,84.6,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.807201,91.7,46.9,102240,30,3067200,True,True,10
7,2023-05-31 15:00:02.814658,85.7,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.822155,91.7,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.829806,91.7,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.837245,84.6,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.844824,85.7,46.9,102240,30,3067200,True,True,4
7,2023-05-31 15:00:02.852343,91.7,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.859854,85.7,46.9,102240,30,3067200,True,True,4
7,2023-05-31 15:00:02.867602,92.3,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.875029,83.3,46.9,102240,30,3067200,True,True,7
7,2023-05-31 15:00:02.882518,91.7,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.890324,92.3,46.9,102240,30,3067200,True,True,9
7,2023-05-31 15:00:02.897980,84.6,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.905400,91.7,46.9,102240,30,3067200,True,True,8
7,2023-05-31 15:00:02.912846,85.7,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.920316,84.6,46.9,102240,30,3067200,True,True,7
7,2023-05-31 15:00:02.927828,92.3,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.935242,84.6,46.9,102240,30,3067200,True,True,4
7,2023-05-31 15:00:02.942795,91.7,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.950479,91.7,46.9,102240,30,3067200,True,True,6
7,2023-05-31 15:00:02.958411,85.7,46.9,102240,30,3067200,True,True,4
7,2023-05-31 15:00:02.966010,91.7,46.9,102240,30,3067200,True,True,5
7,2023-05-31 15:00:02.973530,85.7,46.9,102240,30,3067200,True,True,3
7,2023-05-31 15:00:02.981104,91.7,46.9,102240,30,3067200,True,True,13
7,2023-05-31 15:00:02.988864,85.7,46.9,102240,30,3067200,True,True,15
8,2023-05-31 15:00:02.997508,94.1,46.9,102240,30,3067200,True,True,7
8,2023-05-31 15:00:03.006132,84.6,46.8,102240,30,3067200,True,True,17
7,2023-05-31 15:00:03.013931,91.7,46.8,102240,30,3067200,True,True,17
7,2023-05-31 15:00:03.021567,91.7,46.8,102240,30,3067200,True,True,15
7,2023-05-31 15:00:03.029064,84.6,46.8,102240,30,3067200,True,True,19
7,2023-05-31 15:00:03.036567,87.5,46.8,102240,30,3067200,True,True,17
7,2023-05-31 15:00:03.044321,84.6,46.8,102240,30,3067200,True,True,19
7,2023-05-31 15:00:03.051847,92.3,46.8,102240,30,3067200,True,True,13
7,2023-05-31 15:00:03.059277,92.3,46.8,102240,30,3067200,True,True,15
