delta,timestamp
13,2022-02-07 22:49:18.601456
12,2022-02-07 22:49:18.626451
12,2022-02-07 22:49:18.649453
12,2022-02-07 22:49:18.680458
10,2022-02-07 22:49:18.713451
11,2022-02-07 22:49:18.752466
11,2022-02-07 22:49:18.785473
10,2022-02-07 22:49:18.821453
13,2022-02-07 22:49:18.856457
11,2022-02-07 22:49:18.888451
11,2022-02-07 22:49:18.923469
10,2022-02-07 22:49:18.959451
11,2022-02-07 22:49:18.992686
11,2022-02-07 22:49:19.026508
11,2022-02-07 22:49:19.061434
9,2022-02-07 22:49:19.097098
14,2022-02-07 22:49:19.143123
11,2022-02-07 22:49:19.170114
9,2022-02-07 22:49:19.207098
11,2022-02-07 22:49:19.243549
11,2022-02-07 22:49:19.277503
12,2022-02-07 22:49:19.311876
12,2022-02-07 22:49:19.345820
12,2022-02-07 22:49:19.382821
11,2022-02-07 22:49:19.413821
13,2022-02-07 22:49:19.447824
12,2022-02-07 22:49:19.480824
11,2022-02-07 22:49:19.513833
11,2022-02-07 22:49:19.545824
12,2022-02-07 22:49:19.581823
11,2022-02-07 22:49:19.613821
12,2022-02-07 22:49:19.647828
13,2022-02-07 22:49:19.683822
12,2022-02-07 22:49:19.721826
14,2022-02-07 22:49:19.755823
12,2022-02-07 22:49:19.805822
12,2022-02-07 22:49:19.827826
13,2022-02-07 22:49:19.854824
12,2022-02-07 22:49:19.885821
10,2022-02-07 22:49:19.922824
13,2022-02-07 22:49:19.952828
15,2022-02-07 22:49:19.989820
12,2022-02-07 22:49:20.024821
16,2022-02-07 22:49:20.059822
16,2022-02-07 22:49:20.097825
13,2022-02-07 22:49:20.126822
13,2022-02-07 22:49:20.160832
10,2022-02-07 22:49:20.194820
11,2022-02-07 22:49:20.230828
13,2022-02-07 22:49:20.267830
12,2022-02-07 22:49:20.300819
11,2022-02-07 22:49:20.334819
11,2022-02-07 22:49:20.372820
11,2022-02-07 22:49:20.404823
12,2022-02-07 22:49:20.437833
14,2022-02-07 22:49:20.472825
10,2022-02-07 22:49:20.502823
11,2022-02-07 22:49:20.535821
12,2022-02-07 22:49:20.573828
12,2022-02-07 22:49:20.604823
12,2022-02-07 22:49:20.637822
11,2022-02-07 22:49:20.671820
10,2022-02-07 22:49:20.704820
10,2022-02-07 22:49:20.738816
11,2022-02-07 22:49:20.759817
10,2022-02-07 22:49:20.778816
11,2022-02-07 22:49:20.800817
13,2022-02-07 22:49:20.817815
13,2022-02-07 22:49:20.842824
11,2022-02-07 22:49:20.855815
11,2022-02-07 22:49:20.909822
12,2022-02-07 22:49:20.935828
11,2022-02-07 22:49:20.948820
13,2022-02-07 22:49:20.971816
12,2022-02-07 22:49:21.006824
10,2022-02-07 22:49:21.047816
11,2022-02-07 22:49:21.082816
11,2022-02-07 22:49:21.106816
13,2022-02-07 22:49:21.126819
10,2022-02-07 22:49:21.167816
10,2022-02-07 22:49:21.207817
10,2022-02-07 22:49:21.245817
10,2022-02-07 22:49:21.277817
11,2022-02-07 22:49:21.311840
11,2022-02-07 22:49:21.344835
12,2022-02-07 22:49:21.380823
11,2022-02-07 22:49:21.413527
10,2022-02-07 22:49:21.448458
12,2022-02-07 22:49:21.482146
13,2022-02-07 22:49:21.519146
14,2022-02-07 22:49:21.555145
13,2022-02-07 22:49:21.587152
14,2022-02-07 22:49:21.621155
13,2022-02-07 22:49:21.655152
13,2022-02-07 22:49:21.692156
